Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
sofa-3seater,Premium 3-Seater Sofa,"Handcrafted from premium teak wood with soft linen-blend upholstery. Designed for Indian living rooms — spacious, durable, and elegant. Arrives fully assembled with free delivery inside Virudhachalam.",KGS Home Décors,sofas,"Best Seller, sofas",TRUE,Title,Default Title,sofa-3seater,0,shopify,100,deny,manual,18500,22000,TRUE,TRUE,,assets/images/sofa.jpg,1,Premium 3-Seater Sofa,active
clock-brass,Antique Brass Wall Clock,"Elegant antique brass finish wall clock. A statement piece for any living room or hallway.",KGS Home Décors,wall-clocks,"New, wall-clocks",TRUE,Title,Default Title,clock-brass,0,shopify,100,deny,manual,1299,,TRUE,TRUE,,assets/images/clock.jpg,1,Antique Brass Wall Clock,active
fountain-tabletop,Indoor Tabletop Fountain,"Peaceful tabletop water fountain for home or office. Creates a calming ambiance with the gentle sound of flowing water.",KGS Home Décors,fountains,"Staff Pick, fountains",TRUE,Title,Default Title,fountain-tabletop,0,shopify,100,deny,manual,2850,,TRUE,TRUE,,assets/images/fountain.jpg,1,Indoor Tabletop Fountain,active
wall-art-botanical,Botanical Wall Art Panel,"Premium botanical wall art panel. Adds a natural, earthy touch to any wall.",KGS Home Décors,wall-art,wall-art,TRUE,Title,Default Title,wall-art-botanical,0,shopify,100,deny,manual,1850,,TRUE,TRUE,,assets/images/wall_decor.jpg,1,Botanical Wall Art Panel,active
plant-banana,Large Artificial Banana Plant,"Lifelike large artificial banana plant. Zero maintenance, maximum visual impact for living rooms and offices.",KGS Home Décors,plants,"Popular, plants",TRUE,Title,Default Title,plant-banana,0,shopify,100,deny,manual,3200,,TRUE,TRUE,,assets/images/plant.png,1,Large Artificial Banana Plant,active
clock-vintage,Vintage Round Wall Clock,"Classic vintage round wall clock with a distressed finish. Perfect for rustic and modern interiors.",KGS Home Décors,wall-clocks,wall-clocks,TRUE,Title,Default Title,clock-vintage,0,shopify,100,deny,manual,899,,TRUE,TRUE,,assets/images/clock.jpg,1,Vintage Round Wall Clock,active
wall-art-mandala,Mandala Metal Wall Art,"Intricate mandala design in powder-coated metal. A bold statement piece for feature walls.",KGS Home Décors,wall-art,"New, wall-art",TRUE,Title,Default Title,wall-art-mandala,0,shopify,100,deny,manual,1450,,TRUE,TRUE,,assets/images/wall_decor.jpg,1,Mandala Metal Wall Art,active
light-pendant,Pendant Ceiling Light,"Decorative pendant ceiling light. Adds warm ambient lighting to dining rooms and living spaces.",KGS Home Décors,led-lights,led-lights,TRUE,Title,Default Title,light-pendant,0,shopify,100,deny,manual,2400,,TRUE,TRUE,,assets/images/lighting.jpg,1,Pendant Ceiling Light,active
vase-ceramic,Designer Ceramic Vase,"Hand-painted designer ceramic vase. A perfect gifting option and décor accent.",KGS Home Décors,gift-items,"New, gift-items",TRUE,Title,Default Title,vase-ceramic,0,shopify,100,deny,manual,1950,,TRUE,TRUE,,assets/images/ceramic_vase.png,1,Designer Ceramic Vase,active
shelf-geometric,Geometric Wall Shelf,"Modern geometric wall shelf for displaying décor, books, and plants.",KGS Home Décors,wall-art,"New, wall-art",TRUE,Title,Default Title,shelf-geometric,0,shopify,100,deny,manual,2750,,TRUE,TRUE,,assets/images/wall_shelf.png,1,Geometric Wall Shelf,active
lamp-table,Artisan Table Lamp,"Handcrafted artisan table lamp with a fabric shade. Creates warm ambiance for bedrooms and living rooms.",KGS Home Décors,led-lights,"New, led-lights",TRUE,Title,Default Title,lamp-table,0,shopify,100,deny,manual,3400,,TRUE,TRUE,,assets/images/table_lamp.png,1,Artisan Table Lamp,active
cushion-ethnic,Ethnic Cushion Cover Set,"Set of 5 ethnic print cushion covers. Machine washable, vibrant colors that last.",KGS Home Décors,gift-items,"New, gift-items",TRUE,Title,Default Title,cushion-ethnic,0,shopify,100,deny,manual,1299,,TRUE,TRUE,,assets/images/cushion_covers.png,1,Ethnic Cushion Cover Set,active
mirror-sunburst,Sunburst Decorative Mirror,"Stunning sunburst decorative mirror in gold finish. The centerpiece any wall deserves.",KGS Home Décors,wall-art,"New, wall-art",TRUE,Title,Default Title,mirror-sunburst,0,shopify,100,deny,manual,4200,,TRUE,TRUE,,assets/images/decorative_mirror.png,1,Sunburst Decorative Mirror,active
candle-gift,Aromatic Candle Gift Set,"Premium aromatic candle gift set with 3 fragrances. Perfect for gifting occasions.",KGS Home Décors,gift-items,"New, gift-items",TRUE,Title,Default Title,candle-gift,0,shopify,100,deny,manual,899,,TRUE,TRUE,,assets/images/candle_set.png,1,Aromatic Candle Gift Set,active
frame-photo,Decorative Photo Frame Set,"Set of 3 decorative photo frames in complementary finishes. Ideal for gallery walls.",KGS Home Décors,photo-frames,photo-frames,TRUE,Title,Default Title,frame-photo,0,shopify,100,deny,manual,749,,TRUE,TRUE,,assets/images/frames.jpg,1,Decorative Photo Frame Set,active
light-led-strip,LED Décor Strip Lights,"Flexible LED strip lights for TV backlighting, shelves, and room ambiance. Remote controlled.",KGS Home Décors,led-lights,led-lights,TRUE,Title,Default Title,light-led-strip,0,shopify,100,deny,manual,1199,,TRUE,TRUE,,assets/images/lighting.jpg,1,LED Décor Strip Lights,active
